filename,period,theme
FO-70-00977,70s,geboorte
FO-70-00193,70s,geboorte
FO-70-00338,70s,geboorte
FO-70-00100,70s,huwelijk
FO-70-01003,70s,huwelijk
FO-70-01010,70s,huwelijk
FO-70-00399,70s,huwelijk
FO-70-00530,70s,huwelijk
FO-70-00662,70s,huwelijk
FO-70-01014,70s,huwelijk
FO-70-01025,70s,huwelijk
FO-70-01033,70s,huwelijk
FO-70-01039,70s,huwelijk
FO-70-01043,70s,huwelijk
FO-70-01046,70s,huwelijk
FO-70-01050,70s,huwelijk
FO-70-01055,70s,huwelijk
FO-70-00249_a3,70s,sint
FO-70-00015,70s,speelgoed
FO-70-00202,70s,speelgoed
FO-70-00470,70s,speelgoed
FO-70-00593,70s,speelgoed
FO-70-00937,70s,speelgoed
DIA-70-00152,70s,vakantie
DIA-70-00174,70s,vakantie
DIA-70-00502,70s,vakantie
FO-70-00539,70s,vakantie
FO-80-00008,80s,geboorte
FO-80-00041,80s,geboorte
FO-80-00163,80s,geboorte
FO-80-00505,80s,geboorte
FO-80-00016,80s,geboorte
FO-80-00018,80s,geboorte
FO-80-00053,80s,huwelijk
FO-80-00129,80s,huwelijk
FO-80-00405,80s,huwelijk
FO-80-00476,80s,huwelijk
FO-80-00496,80s,huwelijk
FO-80-00498,80s,huwelijk
FO-80-00570,80s,huwelijk
FO-80-00023,80s,speelgoed
FO-80-00106,80s,speelgoed
FO-80-00158,80s,speelgoed
FO-80-00160,80s,speelgoed
FO-80-00334,80s,speelgoed
FO-80-00535,80s,speelgoed
FO-80-00638,80s,speelgoed
FO-80-00709,80s,speelgoed
FO-80-00451,80s,vakantie
DIA-80-00069,80s,vakantie
FO-80-00412,80s,vakantie
DIA-80-00048,80s,vakantie
FO-80-00413,80s,vakantie
DIA-80-00096,80s,vakantie
FO-80-00452,80s,vakantie
FO-80-00551,80s,vakantie
FO-80-00557,80s,vakantie
FO-90-00076,90s,geboorte
FO-90-00259,90s,geboorte
FO-90-00153,90s,huwelijk
FO-90-00183,90s,huwelijk
FO-90-00190,90s,huwelijk
FO-90-00196,90s,huwelijk
FO-90-00005,90s,speelgoed
FO-90-00026,90s,speelgoed
FO-90-00174,90s,speelgoed
FO-90-00096,90s,vakantie
